,campaign_id,date,cpc,cpm,ctr,reach,spend,clicks,impressions,conversion,daily_budget,campaign_name
0,1.20E+17,23-05-2024,12.098633,55.677992,1.622805,0,85,37,5188,0,,Generic_Campaign_02
1,1.20E+17,24-05-2024,17.178181,63.252889,2.017416,0,85,38,5080,183,,Generic_Campaign_02
2,1.20E+17,25-05-2024,3.593158,58.219209,0.501055,0,85,19,4627,163.2,,Generic_Campaign_02
3,1.20E+17,26-05-2024,5.604306,65.976251,3.323278,0,85,46,4282,0,,Generic_Campaign_02
4,1.20E+17,27-05-2024,10.832323,51.720998,2.522805,0,85,57,6355,206.4,,Generic_Campaign_02
5,1.20E+17,28-05-2024,0,0,0,0,0,0,0,0,,Generic_Campaign_02
6,1.20E+17,29-05-2024,0,0,0,0,0,0,0,0,,Generic_Campaign_02
7,1.20E+17,14-11-2024,3.998189,130.35038,6.85484,0,63.47,46,2166,0,500,Prospecting_DPA_Campaign_04
8,1.20E+17,15-11-2024,3.024842,235.898538,3.137422,0,91.39,61,4255,0,500,Prospecting_DPA_Campaign_04
9,1.20E+17,16-11-2024,7.088542,375.217704,13.056921,0,88.89,54,1037,286.77,500,Prospecting_DPA_Campaign_04
10,1.20E+17,17-11-2024,8.255067,396.081454,10.084549,0,113.480001,60,1377,0,500,Prospecting_DPA_Campaign_04
11,1.20E+17,18-11-2024,3.554424,272.928972,10.449086,0,169.16,88,1677,1151.12,500,Prospecting_DPA_Campaign_04
12,1.20E+17,19-11-2024,4.870041,223.583745,35.022362,0,432.109999,602,8784,2215.32,500,Prospecting_DPA_Campaign_04
13,1.20E+17,20-11-2024,4.34361,259.450935,24.690251,0,1466.439999,2136,34677,3437.16,500,Prospecting_DPA_Campaign_04
14,1.20E+17,21-11-2024,5.573596,246.646258,24.726538,0,952.600001,1431,22604,2417.2,500,Prospecting_DPA_Campaign_04
15,1.20E+17,22-11-2024,3.349435,191.266247,28.94572,0,783.400001,1440,26523,3964.74,500,Prospecting_DPA_Campaign_04
16,1.20E+17,23-11-2024,5.065108,233.33646,31.526931,0,724.419999,1185,23358,3915.77,500,Prospecting_DPA_Campaign_04
17,1.20E+17,24-11-2024,2.680044,189.086452,18.77824,0,1108.09,1761,32088,4810.87,500,Prospecting_DPA_Campaign_04
